,id,name,domain_id,closed,city_name,zipcode,geohash,new_open,weighted_average_rating,number_of_chains,number_of_bookmarks,number_of_reviews,number_of_product_tags,total_number_of_views,number_of_checkins,number_of_menu_groups,number_of_menu_photos,category_name,price_range,avg_price,parking,credit_card_accepted,good_for_groups,good_for_kids,bookable,best_of_wongnai,wifi,number_of_seats,music_venue,hotel_restaurant,pet_friendly,delivery
130,266,อาซิส ข้าวมันไก่-ข้าวหมกไก่,1,0,Nakhon Si Thammarat,80160,w1x13ch,0,3.0,,7.0,2,3,1049,4,0,2,Muslim,1.0,,1.0,0.0,1.0,1.0,0.0,,1.0,2.0,,,,
197,432,ร้านอาหารบ้านเพื่อนเพลง,1,0,Nakhon Si Thammarat,80240,w1qxv5r,0,0.0,,,0,0,390,0,0,0,Thai,,,,,,,,,,,,,,
225,473,ต้นหอม ผักชี,1,0,Nakhon Si Thammarat,,w1x11wt,0,4.0,,2.0,1,1,508,0,0,1,North East,2.0,,1.0,0.0,,,,,,,,,,
293,583,Hill Coff,1,0,Nakhon Si Thammarat,80000,w1x00q4,0,4.0,,6.0,0,0,724,0,0,0,Café/Coffee Shop,,,3.0,,,,,,,,,,,
337,638,ท่าศาลาซีฟู้ด,1,0,Nakhon Si Thammarat,80160,w1x1661,0,3.7323420069999997,,133.0,48,8,27059,20,0,2,Seafood,3.0,,3.0,1.0,1.0,1.0,,,,,,,,
370,678,บรรเจิด อาหารเช้า,1,0,Nakhon Si Thammarat,,w1x14nc,0,3.507246377,,3.0,3,0,1333,0,0,3,Muslim,2.0,,1.0,0.0,,,,,,,,,,
461,817,ร้านแป้งกรอบ เมืองนคร 2502,1,0,Nakhon Si Thammarat,,w1x048y,0,4.0,,5.0,3,2,1464,4,0,1,Dessert,1.0,,0.0,0.0,,,,,,,,,,
578,963,ร้าน ก๋วยเตี๋ยว ยายดี,1,0,Nakhon Si Thammarat,,w1x11zb,0,3.0,,,1,0,216,0,0,0,Noodles,1.0,,1.0,0.0,,,,,,,,,,
1040,1647,ครัวทุ่งค่าย,1,0,Nakhon Si Thammarat,80180,w1rj7pw,0,0.0,,,0,0,181,0,0,0,Thai,,,,,,,,,,,,,,
1044,1651,ร้านโกดำเขาชุมทอง,1,0,Nakhon Si Thammarat,80130,w1rn2gy,0,4.045454545,,4.0,1,2,2028,1,0,1,Thai,2.0,,,,,,,,,,,,,
1054,1670,กาแฟคุณอ้วน,1,0,Nakhon Si Thammarat,80000,w1x048k,0,3.607142857,,,2,0,552,1,0,2,Juice/Coffee/Tea/Soft drinks,1.0,,,,,,,,,,,,,
1071,1700,โกปี๊ ทุ่งสง,1,0,Nakhon Si Thammarat,80110,w1qykss,0,3.428571429,,19.0,14,4,5389,8,0,10,Café/Coffee Shop,2.0,,1.0,0.0,0.0,1.0,0.0,,1.0,2.0,,,,
